song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside
Christmas Love,2024-12-05,47.0,Jimin,69.0,11,2024-12-03,46.0,1
Get A Guitar,2024-12-06,49.0,RIIZE,54.0,2,2024-11-16,45.0,19
Loving You,2024-12-06,50.0,Lim Young Woong,57.0,4,2024-12-04,46.0,1
Somebody,2024-12-06,48.0,Jung Kook,86.0,3,2024-12-04,47.0,1
Elevator,2024-12-08,50.0,Lim Young Woong,56.0,4,2024-11-22,50.0,15
Too Sad to Dance,2024-12-09,48.0,Jung Kook,86.0,3,2024-12-04,50.0,4
Christmas Love,2024-12-09,40.0,Jimin,70.0,12,2024-12-05,47.0,3
Baddie,2024-12-09,49.0,IVE,82.0,2,2024-12-01,50.0,7
Somebody,2024-12-10,50.0,Jung Kook,86.0,4,2024-12-08,47.0,1
Nest,2024-12-11,46.0,Lim Young Woong,59.0,2,2024-12-09,50.0,1
Hype Boy,2024-12-11,50.0,NewJeans,84.0,3,2024-10-22,50.0,49
Christmas Love,2024-12-12,42.0,Jimin,70.0,13,2024-12-10,41.0,1
Somebody,2024-12-12,48.0,Jung Kook,86.0,5,2024-12-10,50.0,1
Shot Glass of Tears,2024-12-12,47.0,Jung Kook,86.0,2,2024-12-10,47.0,1
Nest,2024-12-13,50.0,Lim Young Woong,59.0,3,2024-12-11,46.0,1
My Starry Love,2024-12-13,48.0,Lim Young Woong,58.0,2,2024-12-08,42.0,4
Talk Saxy,2024-12-14,49.0,RIIZE,70.0,3,2024-11-10,50.0,33
Too Sad to Dance,2024-12-14,47.0,Jung Kook,85.0,4,2024-12-12,50.0,1
Discord,2024-12-15,44.0,QWER,59.0,2,2024-12-12,49.0,2
You & Me,2024-12-15,50.0,JENNIE,81.0,3,2024-11-27,50.0,17
Shot Glass of Tears,2024-12-15,45.0,Jung Kook,85.0,3,2024-12-13,41.0,1
Too Sad to Dance,2024-12-16,47.0,Jung Kook,85.0,5,2024-12-14,47.0,1
Somebody,2024-12-16,46.0,Jung Kook,85.0,6,2024-12-14,43.0,1
Closer to You (feat. Major Lazer),2024-12-16,48.0,Jung Kook,86.0,3,2024-12-14,42.0,1
All I Want for Christmas Is You,2024-12-17,24.0,Mariah Carey,99.0,2,2024-12-11,44.0,5
Christmas Love,2024-12-17,33.0,Jimin,71.0,14,2024-12-12,42.0,4
Nest,2024-12-19,49.0,Lim Young Woong,58.0,4,2024-12-15,49.0,3
Shot Glass of Tears,2024-12-19,50.0,Jung Kook,85.0,4,2024-12-16,49.0,2
Closer to You (feat. Major Lazer),2024-12-20,49.0,Jung Kook,85.0,4,2024-12-16,48.0,3
Christmas Love,2024-12-20,30.0,Jimin,71.0,15,2024-12-18,33.0,1
Snowman,2024-12-21,34.0,Sia,94.0,2,2024-12-19,44.0,1
Somebody,2024-12-21,49.0,Jung Kook,84.0,7,2024-12-16,46.0,4
Get A Guitar,2024-12-23,47.0,RIIZE,66.0,3,2024-12-20,50.0,2
Too Sad to Dance,2024-12-23,45.0,Jung Kook,83.0,6,2024-12-16,47.0,6
My Love Mine All Mine,2024-12-23,48.0,Mitski,97.0,2,2024-12-20,48.0,2
Love Letter,2024-12-23,49.0,Lim Young Woong,58.0,3,2024-12-20,43.0,2
Last Christmas - Single Version,2024-12-23,42.0,Wham!,89.0,2,2024-12-19,47.0,3
Please Don't Change (feat. DJ Snake),2024-12-23,46.0,Jung Kook,85.0,2,2024-12-21,45.0,1
Hate You,2024-12-27,47.0,Jung Kook,84.0,2,2024-12-24,49.0,2
ETA,2024-12-27,50.0,NewJeans,83.0,4,2024-12-24,45.0,2
You & Me,2024-12-28,46.0,JENNIE,77.0,4,2024-12-15,50.0,12
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2024-12-28,41.0,Fast & Furious: The Fast Saga & Jimin & BTS,65.0,5,2024-12-26,41.0,1
Left and Right (Feat. Jung Kook of BTS),2024-12-28,42.0,Charlie Puth,79.0,4,2024-12-01,22.0,26
My Love Mine All Mine,2024-12-28,44.0,Mitski,95.0,3,2024-12-23,48.0,4
Get A Guitar,2024-12-28,38.0,RIIZE,64.0,4,2024-12-24,50.0,3
Cruel Summer,2024-12-28,48.0,Taylor Swift,95.0,6,2024-10-25,50.0,63
New Jeans,2024-12-28,47.0,NewJeans,79.0,3,2024-11-03,48.0,54
Love Letter,2024-12-28,43.0,Lim Young Woong,56.0,4,2024-12-24,47.0,3
Please Don't Change (feat. DJ Snake),2024-12-28,50.0,Jung Kook,82.0,3,2024-12-23,46.0,4
OMG,2024-12-28,40.0,NewJeans,83.0,3,2024-12-24,46.0,3
Closer to You (feat. Major Lazer),2024-12-29,43.0,Jung Kook,81.0,5,2024-12-21,47.0,7
Shot Glass of Tears,2024-12-29,50.0,Jung Kook,81.0,5,2024-12-19,50.0,9
Nest,2024-12-30,50.0,Lim Young Woong,55.0,5,2024-12-19,49.0,10
Hype Boy,2024-12-30,46.0,NewJeans,81.0,4,2024-12-11,50.0,18
Slow Dancing (Piano Ver.),2024-12-31,49.0,V,79.0,2,2024-11-07,48.0,53
For Us,2024-12-31,44.0,V,80.0,2,2024-11-09,48.0,51
Blue,2024-12-31,46.0,V,80.0,2,2024-11-07,46.0,53
New Jeans,2025-01-01,50.0,NewJeans,80.0,4,2024-12-30,48.0,1
Please Don't Change (feat. DJ Snake),2025-01-01,45.0,Jung Kook,83.0,4,2024-12-30,44.0,1
My Starry Love,2025-01-03,50.0,Lim Young Woong,55.0,3,2024-12-13,48.0,20
Nest,2025-01-03,49.0,Lim Young Woong,56.0,6,2024-12-30,50.0,3
Blue,2025-01-03,43.0,V,81.0,3,2024-12-31,46.0,2
You & Me,2025-01-04,47.0,JENNIE,79.0,5,2025-01-02,48.0,1
New Jeans,2025-01-04,50.0,NewJeans,81.0,5,2025-01-02,50.0,1
Hype Boy,2025-01-04,48.0,NewJeans,83.0,5,2024-12-30,46.0,4
Baddie,2025-01-05,50.0,IVE,80.0,3,2024-12-18,50.0,17
Closer to You (feat. Major Lazer),2025-01-05,46.0,Jung Kook,83.0,6,2024-12-29,43.0,6
New Jeans,2025-01-06,41.0,NewJeans,82.0,6,2025-01-04,50.0,1
You & Me,2025-01-06,47.0,JENNIE,79.0,6,2025-01-04,47.0,1
Love Letter,2025-01-07,46.0,Lim Young Woong,58.0,5,2025-01-05,44.0,1
Blue,2025-01-07,50.0,V,82.0,4,2025-01-05,48.0,1
My Love Mine All Mine,2025-01-09,47.0,Mitski,98.0,4,2025-01-06,49.0,2
New Jeans,2025-01-09,50.0,NewJeans,83.0,7,2025-01-06,41.0,2
Talk Saxy,2025-01-10,49.0,RIIZE,70.0,4,2024-12-15,48.0,25
Cupido,2025-01-10,32.0,Engel Montaz & Kuv507 & Latinnites Music,70.0,2,2025-01-08,47.0,1
Closer to You (feat. Major Lazer),2025-01-10,47.0,Jung Kook,84.0,7,2025-01-05,46.0,4
Blue,2025-01-11,48.0,V,82.0,5,2025-01-09,49.0,1
Nest,2025-01-11,50.0,Lim Young Woong,57.0,7,2025-01-03,49.0,7
My Starry Love,2025-01-11,49.0,Lim Young Woong,57.0,4,2025-01-03,50.0,7
Talk Saxy,2025-01-12,46.0,RIIZE,70.0,5,2025-01-10,49.0,1
You & Me,2025-01-12,48.0,JENNIE,80.0,7,2025-01-08,49.0,3
Closer to You (feat. Major Lazer),2025-01-12,50.0,Jung Kook,84.0,8,2025-01-10,47.0,1
New Jeans,2025-01-13,49.0,NewJeans,83.0,8,2025-01-09,50.0,3
Closer to You (feat. Major Lazer),2025-01-16,49.0,Jung Kook,83.0,9,2025-01-12,50.0,3
Lost and Found,2025-01-16,8.0,KingLee & Lil' Flip,64.0,2,2024-12-28,27.0,18
All Or Nothing,2025-01-17,26.0,J Money & KingLee,52.0,2,2024-12-22,30.0,25
Talk Saxy,2025-01-17,50.0,RIIZE,70.0,6,2025-01-13,44.0,3
Love Letter,2025-01-18,48.0,Lim Young Woong,58.0,6,2025-01-16,44.0,1
Lovin On Me,2025-01-18,49.0,Jack Harlow,99.0,2,2025-01-15,50.0,2
Left and Right (Feat. Jung Kook of BTS),2025-01-21,44.0,Charlie Puth,83.0,5,2025-01-19,48.0,1
Please Don't Change (feat. DJ Snake),2025-01-21,36.0,Jung Kook,84.0,5,2025-01-16,45.0,4
Love Letter,2025-01-22,50.0,Lim Young Woong,58.0,7,2025-01-20,50.0,1
Father,2025-01-22,42.0,Lim Young Woong,59.0,4,2025-01-20,42.0,1
Baddie,2025-01-22,49.0,IVE,81.0,4,2025-01-06,48.0,15
Please Don't Change (feat. DJ Snake),2025-01-23,49.0,Jung Kook,84.0,6,2025-01-21,36.0,1
With you,2025-01-23,28.0,Jimin & HA SUNG WOON,74.0,5,2024-07-06,50.0,200
Lovin On Me,2025-01-24,47.0,Jack Harlow,99.0,3,2025-01-22,46.0,1
GODS,2025-01-25,48.0,League of Legends & NewJeans,85.0,2,2025-01-22,45.0,2
Somebody,2025-01-25,50.0,Jung Kook,82.0,8,2024-12-21,49.0,34
Please Don't Change (feat. DJ Snake),2025-01-26,49.0,Jung Kook,84.0,7,2025-01-24,48.0,1
Love Letter,2025-01-27,48.0,Lim Young Woong,58.0,8,2025-01-22,50.0,4
Talk Saxy,2025-01-27,49.0,RIIZE,70.0,7,2025-01-21,50.0,5
Left and Right (Feat. Jung Kook of BTS),2025-01-28,50.0,Charlie Puth,83.0,6,2025-01-24,50.0,3
Somebody,2025-01-28,46.0,Jung Kook,82.0,9,2025-01-25,50.0,2
OMG,2025-01-28,49.0,NewJeans,87.0,4,2025-01-26,50.0,1
Hate You,2025-01-30,45.0,Jung Kook,83.0,3,2025-01-27,46.0,2
Interlude : Dive,2025-01-30,44.0,Jimin,77.0,11,2025-01-27,34.0,2
GODS,2025-01-31,49.0,League of Legends & NewJeans,85.0,3,2025-01-25,48.0,5
Love Letter,2025-02-01,49.0,Lim Young Woong,57.0,9,2025-01-30,49.0,1
OMG,2025-02-01,50.0,NewJeans,87.0,5,2025-01-29,49.0,2
Hate You,2025-02-02,44.0,Jung Kook,83.0,4,2025-01-30,45.0,2
Somebody,2025-02-02,48.0,Jung Kook,82.0,10,2025-01-31,48.0,1
Interlude : Dive,2025-02-02,47.0,Jimin,77.0,12,2025-01-31,36.0,1
MANIAC,2025-02-03,48.0,VIVIZ,81.0,2,2025-02-01,46.0,1
Beautiful Things,2025-02-03,50.0,Benson Boone,92.0,2,2025-02-01,48.0,1
Please Don't Change (feat. DJ Snake),2025-02-03,46.0,Jung Kook,84.0,8,2025-01-26,49.0,7
Interlude : Dive,2025-02-04,48.0,Jimin,77.0,13,2025-02-02,47.0,1
OMG,2025-02-04,50.0,NewJeans,87.0,6,2025-02-01,50.0,2
Please Don't Change (feat. DJ Snake),2025-02-05,50.0,Jung Kook,84.0,9,2025-02-03,46.0,1
Beautiful Things,2025-02-05,46.0,Benson Boone,93.0,3,2025-02-03,50.0,1
Love Letter,2025-02-07,50.0,Lim Young Woong,57.0,10,2025-02-01,49.0,5
Interlude : Dive,2025-02-08,49.0,Jimin,77.0,14,2025-02-06,39.0,1
Somebody,2025-02-08,47.0,Jung Kook,82.0,11,2025-02-02,48.0,5
MANIAC,2025-02-09,48.0,VIVIZ,81.0,3,2025-02-04,49.0,4
Hype Boy,2025-02-10,49.0,NewJeans,84.0,6,2025-01-15,46.0,25
Somebody,2025-02-10,48.0,Jung Kook,82.0,12,2025-02-08,47.0,1
Left and Right (Feat. Jung Kook of BTS),2025-02-10,46.0,Charlie Puth,83.0,7,2025-01-29,50.0,11
New Jeans,2025-02-10,45.0,NewJeans,83.0,9,2025-01-15,49.0,25
OMG,2025-02-10,43.0,NewJeans,87.0,7,2025-02-04,50.0,5
A Psalm of Life,2025-02-11,49.0,Lim Young Woong,58.0,5,2025-02-09,45.0,1
Lovely Touch,2025-02-11,50.0,Lim Young Woong,58.0,5,2025-02-09,44.0,1
HERO,2025-02-11,46.0,Lim Young Woong,58.0,4,2025-02-09,41.0,1
New Jeans,2025-02-12,43.0,NewJeans,83.0,10,2025-02-10,45.0,1
Love Always Run Away,2025-02-12,46.0,Lim Young Woong,59.0,14,2025-02-09,50.0,2
Please Don't Change (feat. DJ Snake),2025-02-13,45.0,Jung Kook,83.0,10,2025-02-07,48.0,5
Somebody,2025-02-13,49.0,Jung Kook,81.0,13,2025-02-10,48.0,2
Bling-Bang-Bang-Born,2025-02-14,50.0,Creepy Nuts,92.0,2,2025-02-12,38.0,1
MANIAC,2025-02-14,49.0,VIVIZ,82.0,4,2025-02-12,47.0,1
My Love Mine All Mine,2025-02-14,42.0,Mitski,99.0,5,2025-02-12,39.0,1
New Jeans,2025-02-14,48.0,NewJeans,83.0,11,2025-02-12,43.0,1
OMG,2025-02-14,47.0,NewJeans,87.0,8,2025-02-12,41.0,1
Interlude : Dive,2025-02-14,24.0,Jimin,76.0,15,2025-02-11,42.0,2
Super Lady,2025-02-15,48.0,(G)I-DLE,81.0,2,2025-02-12,45.0,2
"yes, and?",2025-02-15,45.0,Ariana Grande,97.0,2,2025-02-12,48.0,2
Ditto,2025-02-16,50.0,NewJeans,85.0,5,2025-02-12,42.0,3
Somebody,2025-02-17,45.0,Jung Kook,81.0,14,2025-02-14,41.0,2
I Love You,2025-02-18,47.0,Lim Young Woong,58.0,9,2025-02-15,50.0,2
HERO,2025-02-18,50.0,Lim Young Woong,58.0,5,2025-02-12,49.0,5
Love Always Run Away,2025-02-19,43.0,Lim Young Woong,59.0,15,2025-02-12,46.0,6
A Psalm of Life,2025-02-19,45.0,Lim Young Woong,58.0,6,2025-02-12,50.0,6
Lovely Touch,2025-02-19,44.0,Lim Young Woong,58.0,6,2025-02-11,50.0,7
Father,2025-02-19,46.0,Lim Young Woong,58.0,5,2025-02-09,46.0,9
ETA,2025-02-23,49.0,NewJeans,84.0,5,2025-02-21,48.0,1
I Love You,2025-02-23,50.0,Lim Young Woong,58.0,10,2025-02-20,42.0,2
Interlude : Dive,2025-02-24,39.0,Jimin,76.0,16,2025-02-21,44.0,2
Closer to You (feat. Major Lazer),2025-02-25,49.0,Jung Kook,82.0,10,2025-01-16,49.0,39
Somebody,2025-02-26,45.0,Jung Kook,81.0,15,2025-02-17,45.0,8
A Psalm of Life,2025-02-26,46.0,Lim Young Woong,58.0,7,2025-02-20,45.0,5
I Love You,2025-02-26,48.0,Lim Young Woong,58.0,11,2025-02-23,50.0,2
Father,2025-02-26,50.0,Lim Young Woong,58.0,6,2025-02-20,46.0,5
New Jeans,2025-02-28,48.0,NewJeans,83.0,12,2025-02-18,48.0,9
MANIAC,2025-02-28,50.0,VIVIZ,83.0,5,2025-02-17,49.0,10
Shot Glass of Tears,2025-03-01,49.0,Jung Kook,80.0,6,2024-12-29,50.0,61
Too Sad to Dance,2025-03-01,45.0,Jung Kook,80.0,7,2024-12-23,45.0,67
Rainy Days,2025-03-02,50.0,V,81.0,2,2025-02-20,33.0,9
wherever u r (ft. V of BTS),2025-03-02,45.0,UMI & V,86.0,2,2025-02-28,44.0,1
Please Don't Change (feat. DJ Snake),2025-03-02,48.0,Jung Kook,83.0,11,2025-02-28,40.0,1
Closer to You (feat. Major Lazer),2025-03-02,47.0,Jung Kook,81.0,11,2025-02-28,45.0,1
My Love Mine All Mine,2025-03-02,46.0,Mitski,98.0,6,2025-02-25,50.0,4
Standing Next to You,2025-03-03,8.0,Jung Kook,95.0,2,2025-03-01,8.0,1
I Like Me Better,2025-03-03,36.0,Lauv,84.0,2,2025-03-01,38.0,1
I Love You,2025-03-04,50.0,Lim Young Woong,57.0,12,2025-02-28,49.0,3
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),2025-03-06,49.0,MAX,72.0,2,2025-02-18,46.0,15
CARNIVAL,2025-03-06,50.0,¥$ & Kanye West & Ty Dolla $ign,96.0,2,2025-02-21,43.0,12
Interlude : Dive,2025-03-06,43.0,Jimin,75.0,17,2025-03-02,34.0,3
Closer to You (feat. Major Lazer),2025-03-07,48.0,Jung Kook,80.0,12,2025-03-05,37.0,1
Somebody,2025-03-07,41.0,Jung Kook,80.0,16,2025-03-05,42.0,1
New Jeans,2025-03-08,45.0,NewJeans,82.0,13,2025-03-06,47.0,1
Saturn,2025-03-08,49.0,SZA,90.0,2,2025-03-01,47.0,6
CARNIVAL,2025-03-08,48.0,¥$ & Kanye West & Ty Dolla $ign,96.0,3,2025-03-06,50.0,1
I Love You,2025-03-09,46.0,Lim Young Woong,57.0,13,2025-03-05,50.0,3
wherever u r (ft. V of BTS),2025-03-09,49.0,UMI & V,84.0,3,2025-03-07,49.0,1
Somebody,2025-03-10,50.0,Jung Kook,79.0,17,2025-03-08,42.0,1
"yes, and?",2025-03-10,30.0,Ariana Grande,73.0,3,2025-02-18,49.0,19
Rainy Days,2025-03-11,44.0,V,80.0,3,2025-03-09,50.0,1
Hate You,2025-03-11,47.0,Jung Kook,81.0,5,2025-03-09,43.0,1
Ditto,2025-03-11,49.0,NewJeans,83.0,6,2025-02-17,50.0,21
Bling-Bang-Bang-Born,2025-03-13,48.0,Creepy Nuts,91.0,3,2025-02-20,50.0,20
Closer to You (feat. Major Lazer),2025-03-16,50.0,Jung Kook,79.0,13,2025-03-07,48.0,8
New Jeans,2025-03-16,49.0,NewJeans,81.0,14,2025-03-10,47.0,5
wherever u r (ft. V of BTS),2025-03-16,41.0,UMI & V,82.0,4,2025-03-10,46.0,5
Too Sad to Dance,2025-03-17,40.0,Jung Kook,78.0,8,2025-03-01,45.0,15
Ditto,2025-03-18,50.0,NewJeans,82.0,7,2025-03-12,49.0,5
New Jeans,2025-03-18,47.0,NewJeans,81.0,15,2025-03-16,49.0,1
My Love Mine All Mine,2025-03-19,47.0,Mitski,96.0,7,2025-03-15,50.0,3
Too Sad to Dance,2025-03-19,41.0,Jung Kook,78.0,9,2025-03-17,40.0,1
New Jeans,2025-03-20,50.0,NewJeans,81.0,16,2025-03-18,47.0,1
Too Sad to Dance,2025-03-21,50.0,Jung Kook,78.0,10,2025-03-19,41.0,1
New Jeans,2025-03-22,49.0,NewJeans,80.0,17,2025-03-20,50.0,1
My Love Mine All Mine,2025-03-22,50.0,Mitski,96.0,8,2025-03-20,48.0,1
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),2025-03-23,48.0,MAX,74.0,3,2025-03-07,45.0,15
Rainy Days,2025-03-24,44.0,V,79.0,4,2025-03-16,39.0,7
My Love Mine All Mine,2025-03-27,41.0,Mitski,95.0,9,2025-03-22,50.0,4
Like That,2025-03-29,46.0,Future & Metro Boomin,90.0,2,2025-03-27,48.0,1
Hype Boy,2025-03-30,50.0,NewJeans,80.0,7,2025-03-26,47.0,3
My Love Mine All Mine,2025-03-30,49.0,Mitski,95.0,10,2025-03-28,46.0,1
Hype Boy,2025-04-01,46.0,NewJeans,80.0,8,2025-03-30,50.0,1
Ditto,2025-04-01,47.0,NewJeans,80.0,8,2025-03-26,49.0,5
OMG,2025-04-01,48.0,NewJeans,82.0,9,2025-02-18,45.0,41
Welcome to the Show,2025-04-02,48.0,DAY6,65.0,2,2025-03-31,47.0,1
Hype Boy,2025-04-04,48.0,NewJeans,80.0,9,2025-04-02,49.0,1
A bientot,2025-04-05,46.0,Lim Young Woong,56.0,18,2025-04-03,47.0,1
Filter,2025-04-06,31.0,BTS,72.0,4,2024-06-22,50.0,287
Get A Guitar,2025-04-06,49.0,RIIZE,67.0,5,2025-03-29,48.0,7
Drama,2025-04-07,48.0,aespa,83.0,2,2025-04-05,48.0,1
ETA,2025-04-07,50.0,NewJeans,80.0,6,2025-04-05,50.0,1
If I have you only (My love X Nerd Connection),2025-04-09,47.0,Nerd Connection,53.0,2,2025-04-02,50.0,6
No Tomorrow - Spotify Singles,2025-04-10,46.0,Various Artists,45.0,2,2025-04-08,50.0,1
Hype Boy,2025-04-11,46.0,NewJeans,80.0,10,2025-04-04,48.0,6
Get A Guitar,2025-04-12,49.0,RIIZE,67.0,6,2025-04-10,48.0,1
If I have you only (My love X Nerd Connection),2025-04-12,43.0,Nerd Connection,54.0,3,2025-04-09,47.0,2
Time of Our Life -Japanese ver.- - Japanese ver.,2025-04-14,42.0,DAY6,55.0,2,2025-04-04,49.0,9
Welcome to the Show,2025-04-16,46.0,DAY6,67.0,3,2025-04-04,46.0,11
ETA,2025-04-18,50.0,NewJeans,81.0,7,2025-04-16,49.0,1
If I have you only (My love X Nerd Connection),2025-04-18,49.0,Nerd Connection,54.0,4,2025-04-16,45.0,1
Welcome to the Show,2025-04-18,48.0,DAY6,67.0,4,2025-04-16,46.0,1
You Were Beautiful,2025-04-19,49.0,DAY6,67.0,2,2025-04-17,46.0,1
A bientot,2025-04-19,43.0,Lim Young Woong,56.0,19,2025-04-17,40.0,1
Drama,2025-04-20,50.0,aespa,83.0,3,2025-04-17,49.0,2
Love wins all,2025-04-21,48.0,IU,78.0,2,2025-04-19,47.0,1
Time of Our Life -Japanese ver.- - Japanese ver.,2025-04-23,49.0,DAY6,55.0,3,2025-04-20,47.0,2
Love 119,2025-04-23,50.0,RIIZE,69.0,2,2025-04-20,44.0,2
I’ll See You There Tomorrow,2025-04-23,45.0,TOMORROW X TOGETHER,78.0,2,2025-04-20,42.0,2
Love You With All My Heart,2025-04-23,48.0,Crush,73.0,2,2025-04-17,48.0,5
Lucky Girl Syndrome,2025-04-23,44.0,ILLIT,76.0,2,2025-04-06,45.0,16
"Our Blues, Our Life",2025-04-24,47.0,Lim Young Woong,57.0,11,2025-04-22,47.0,1
A bientot,2025-04-24,49.0,Lim Young Woong,56.0,20,2025-04-22,49.0,1
Get A Guitar,2025-04-24,50.0,RIIZE,67.0,7,2025-04-15,50.0,8
Time of Our Life -Japanese ver.- - Japanese ver.,2025-04-25,48.0,DAY6,55.0,4,2025-04-23,49.0,1
Cruel Summer,2025-04-26,46.0,Taylor Swift,96.0,7,2025-04-24,48.0,1
New Jeans,2025-04-27,40.0,NewJeans,80.0,18,2025-04-20,48.0,6
ETA,2025-04-27,41.0,NewJeans,81.0,8,2025-04-18,50.0,8
Hype Boy,2025-04-27,45.0,NewJeans,80.0,11,2025-04-16,48.0,10
Ditto,2025-04-27,46.0,NewJeans,81.0,9,2025-04-01,47.0,25
Attention,2025-04-28,38.0,NewJeans,78.0,6,2024-09-29,48.0,210
OMG,2025-04-28,41.0,NewJeans,82.0,10,2025-04-01,48.0,26
"Our Blues, Our Life",2025-04-29,50.0,Lim Young Woong,57.0,12,2025-04-27,49.0,1
Little Light,2025-05-01,43.0,DOYOUNG,69.0,2,2025-04-28,40.0,2
"Our Blues, Our Life",2025-05-02,50.0,Lim Young Woong,57.0,13,2025-04-30,48.0,1
Slow Dancing,2025-05-02,48.0,V,83.0,3,2025-04-30,49.0,1
Drama,2025-05-03,47.0,aespa,82.0,4,2025-04-20,50.0,12
Slow Dancing,2025-05-04,48.0,V,82.0,4,2025-05-02,48.0,1
Bam Yang Gang,2025-05-05,47.0,BIBI,76.0,2,2025-04-30,45.0,4
To. X,2025-05-05,50.0,TAEYEON,75.0,2,2025-04-30,42.0,4
Yes or No,2025-05-06,47.0,Jung Kook,82.0,2,2025-05-01,46.0,4
euphoria,2025-05-06,50.0,Kendrick Lamar,89.0,2,2025-05-04,42.0,1
"Our Blues, Our Life",2025-05-07,42.0,Lim Young Woong,56.0,14,2025-05-04,49.0,2
A bientot,2025-05-07,43.0,Lim Young Woong,55.0,21,2025-04-26,48.0,10
Slow Dancing,2025-05-07,44.0,V,82.0,5,2025-05-05,48.0,1
we can't be friends (wait for your love),2025-05-08,50.0,Ariana Grande,94.0,2,2025-05-06,46.0,1
"Our Blues, Our Life",2025-05-10,46.0,Lim Young Woong,56.0,15,2025-05-08,49.0,1
Drama,2025-05-11,46.0,aespa,83.0,5,2025-05-09,47.0,1
Perfect Night,2025-05-13,50.0,LE SSERAFIM,85.0,2,2025-05-10,47.0,2
Attention,2025-05-14,50.0,NewJeans,78.0,7,2025-05-11,50.0,2
MAESTRO,2025-05-15,49.0,SEVENTEEN,81.0,2,2025-05-11,41.0,3
Sudden Shower,2025-05-15,50.0,ECLIPSE,74.0,2,2025-05-10,48.0,4
"Our Blues, Our Life",2025-05-16,46.0,Lim Young Woong,56.0,16,2025-05-14,47.0,1
Ditto,2025-05-17,49.0,NewJeans,80.0,10,2025-05-15,48.0,1
Mars,2025-05-18,47.0,D.O.,70.0,2,2025-05-12,48.0,5
Spring Snow,2025-05-19,44.0,10CM,69.0,2,2025-05-17,50.0,1
Attention,2025-05-19,48.0,NewJeans,78.0,8,2025-05-14,50.0,4
OMG,2025-05-20,50.0,NewJeans,81.0,11,2025-05-18,49.0,1
Ditto,2025-05-20,49.0,NewJeans,80.0,11,2025-05-18,48.0,1
Perfect Night,2025-05-20,46.0,LE SSERAFIM,84.0,3,2025-05-14,49.0,5
"Our Blues, Our Life",2025-05-20,48.0,Lim Young Woong,57.0,17,2025-05-18,50.0,1
Sudden Shower,2025-05-21,48.0,ECLIPSE,77.0,3,2025-05-18,43.0,2
Spring Snow,2025-05-22,46.0,10CM,72.0,3,2025-05-19,44.0,2
Perfect Night,2025-05-23,49.0,LE SSERAFIM,84.0,4,2025-05-20,46.0,2
CHIHIRO,2025-05-23,46.0,Billie Eilish,90.0,2,2025-05-19,47.0,3
I Had Some Help (Feat. Morgan Wallen),2025-05-23,50.0,Post Malone & Morgan Wallen,95.0,2,2025-05-19,45.0,3
Jealousyvalhalla,2025-05-26,16.0,YANGHONGWON,48.0,2,2025-05-22,44.0,3
Come back to me,2025-05-26,42.0,RM,63.0,2,2025-05-16,47.0,9
ETA,2025-05-27,48.0,NewJeans,79.0,9,2025-05-25,44.0,1
Lucky Girl Syndrome,2025-05-27,45.0,ILLIT,78.0,3,2025-05-25,37.0,1
Smart,2025-05-27,39.0,LE SSERAFIM,80.0,2,2025-05-25,36.0,1
Hype Boy,2025-05-27,49.0,NewJeans,80.0,12,2025-05-25,43.0,1
Fate,2025-05-27,44.0,(G)I-DLE,74.0,2,2025-05-25,40.0,1
Sudden Shower,2025-05-28,38.0,ECLIPSE,78.0,4,2025-05-25,41.0,2
BIRDS OF A FEATHER,2025-05-28,41.0,Billie Eilish,93.0,2,2025-05-26,37.0,1
Fortnight (feat. Post Malone),2025-05-28,50.0,Taylor Swift,95.0,2,2025-05-26,46.0,1
If We Ever Meet Again,2025-05-29,47.0,Lim Young Woong,58.0,3,2025-05-26,47.0,2
Spring Snow,2025-05-29,50.0,10CM,76.0,4,2025-05-25,38.0,3
Not Like Us,2025-05-30,48.0,Kendrick Lamar,98.0,2,2025-05-25,29.0,4
Ditto,2025-05-31,42.0,NewJeans,80.0,12,2025-05-20,49.0,10
Face-off,2025-05-31,49.0,Jimin,73.0,2,2025-05-29,45.0,1
Alone,2025-05-31,45.0,Jimin,72.0,2,2025-05-29,40.0,1
Perfect Night,2025-06-01,48.0,LE SSERAFIM,84.0,5,2025-05-25,50.0,6
OMG,2025-06-01,45.0,NewJeans,81.0,12,2025-05-22,50.0,9
Fate,2025-06-01,49.0,(G)I-DLE,74.0,3,2025-05-27,44.0,4
Attention,2025-06-01,50.0,NewJeans,77.0,9,2025-05-19,48.0,12
Fortnight (feat. Post Malone),2025-06-02,50.0,Taylor Swift,95.0,3,2025-05-29,49.0,3
plot twist,2025-06-02,46.0,TWS,74.0,2,2025-05-25,48.0,7
Face-off,2025-06-02,49.0,Jimin,73.0,3,2025-05-31,49.0,1
Lucky Girl Syndrome,2025-06-02,43.0,ILLIT,77.0,4,2025-05-30,45.0,2
Alone,2025-06-02,44.0,Jimin,72.0,3,2025-05-31,45.0,1
Time of Our Life -Japanese ver.- - Japanese ver.,2025-06-03,49.0,DAY6,54.0,5,2025-04-26,47.0,37
