song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside,peak_rank,run_days,rank_jump_magnitude,peak_popularity,popularity_change,peak_date,days_to_peak,rank_jump_score,popularity_change_score,recovery_speed_score,momentum_spike_score,album_type,is_explicit,duration_minutes,total_tracks,first_entry_date,first_entry_position,reentry_frequency,fandom_intensity_proxy_score,post_comeback_retention_days
ANTIFRAGILE,2024-07-17,49.0,LE SSERAFIM,79.0,2,2024-07-04,42.0,12,49.0,2,0.0,79.0,0.0,2024-07-17,0,0.0,0.0,100.0,20.0,album,False,3.07,13,2024-05-18,29.0,1,31.76,2
Broken Melodies,2024-07-20,44.0,NCT DREAM,56.0,2,2024-06-30,50.0,19,44.0,2,0.0,56.0,0.0,2024-07-20,0,0.0,0.0,100.0,20.0,single,False,3.77,1,2024-06-21,14.0,1,31.76,2
VIBE (feat. Jimin of BTS),2024-07-20,49.0,TAEYANG,72.0,4,2024-07-15,50.0,4,49.0,1,0.0,72.0,0.0,2024-07-20,0,0.0,0.0,100.0,20.0,album,False,2.93,6,2024-05-18,36.0,7,40.64,1
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-21,48.0,Post Malone,88.0,5,2024-07-16,50.0,4,47.0,2,1.0,88.0,0.0,2024-07-22,1,2.4390243902439024,0.0,99.0909090909091,21.04,album,False,2.63,17,2024-06-23,49.0,5,38.11,2
In Bloom,2024-07-22,50.0,ZEROBASEONE,79.0,3,2024-07-19,49.0,2,50.0,1,0.0,79.0,0.0,2024-07-22,0,0.0,0.0,100.0,20.0,single,False,3.02,6,2024-07-13,39.0,2,33.24,1
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-07-22,46.0,Halsey & SUGA,85.0,2,2024-07-19,47.0,2,40.0,7,6.0,85.0,0.0,2024-07-23,1,14.634146341463412,0.0,99.0909090909091,27.14,single,True,3.02,1,2024-06-07,28.0,6,43.46,7
FLOWER,2024-07-23,45.0,JISOO,84.0,4,2024-06-30,44.0,22,45.0,2,0.0,84.0,0.0,2024-07-23,0,0.0,0.0,100.0,20.0,single,False,2.89,2,2024-05-18,20.0,3,34.72,2
A bientot,2024-07-23,50.0,Lim Young Woong,58.0,7,2024-07-18,50.0,4,46.0,3,4.0,58.0,0.0,2024-07-25,2,9.75609756097561,0.0,98.1818181818182,24.51,album,False,4.27,12,2024-05-18,41.0,22,65.27,3
vampire,2024-07-25,48.0,Olivia Rodrigo,98.0,2,2024-07-22,42.0,2,42.0,4,6.0,99.0,1.0,2024-07-27,2,14.634146341463412,1.1494252873563218,98.1818181818182,27.3,single,True,3.66,1,2024-07-02,22.0,2,37.41,4
Dance The Night (From Barbie The Album),2024-07-26,45.0,Dua Lipa,95.0,3,2024-06-09,46.0,46,41.0,3,4.0,96.0,1.0,2024-07-27,1,9.75609756097561,1.1494252873563218,99.0909090909091,25.04,single,False,2.94,1,2024-06-03,42.0,3,37.69,3
Cupid - Twin Ver.,2024-07-26,49.0,FIFTY FIFTY,97.0,3,2024-07-21,45.0,4,49.0,1,0.0,97.0,0.0,2024-07-26,0,0.0,0.0,100.0,20.0,single,False,2.9,3,2024-05-18,10.0,3,34.72,1
Seven (feat. Latto) (Band Ver.),2024-07-27,34.0,Jung Kook & Latto,77.0,2,2024-07-22,16.0,4,34.0,4,0.0,77.0,0.0,2024-07-27,0,0.0,0.0,100.0,20.0,single,False,3.16,5,2024-07-19,25.0,3,34.72,4
My You,2024-07-27,49.0,Jung Kook,87.0,2,2024-07-22,35.0,4,49.0,2,0.0,87.0,0.0,2024-07-27,0,0.0,0.0,100.0,20.0,single,False,2.75,1,2024-07-05,21.0,6,39.16,2
Seven (feat. Latto) (Summer Mix),2024-07-27,35.0,Jung Kook & Latto,77.0,2,2024-07-22,12.0,4,35.0,2,0.0,78.0,1.0,2024-07-27,0,0.0,1.1494252873563218,100.0,20.34,single,False,3.36,5,2024-07-19,27.0,1,31.97,2
K-POP,2024-07-29,46.0,Travis Scott & Bad Bunny & The Weeknd,91.0,2,2024-07-26,47.0,2,46.0,2,0.0,92.0,1.0,2024-07-29,0,0.0,1.1494252873563218,100.0,20.34,single,True,3.09,1,2024-07-23,39.0,1,31.97,2
Dance The Night (From Barbie The Album),2024-07-30,50.0,Dua Lipa,96.0,4,2024-07-28,41.0,1,41.0,13,9.0,97.0,1.0,2024-08-06,7,21.951219512195124,1.1494252873563218,93.63636363636364,30.05,single,False,2.94,1,2024-06-03,42.0,3,39.5,13
If We Ever Meet Again,2024-07-30,40.0,Lim Young Woong,61.0,2,2024-07-28,43.0,1,12.0,299,28.0,65.0,4.0,2024-11-17,110,68.29268292682927,4.597701149425287,0.0,35.53,album,False,4.57,12,2024-05-18,27.0,4,21.05,299
Interlude : Dive,2024-07-30,44.0,Jimin,78.0,3,2024-07-28,45.0,1,14.0,45,30.0,78.0,0.0,2024-08-16,17,73.17073170731707,0.0,84.54545454545455,53.49,single,False,2.18,6,2024-05-18,42.0,19,75.8,45
Let's Say Goodbye,2024-07-30,38.0,Parc Jae Jung,53.0,2,2024-07-28,39.0,1,30.0,45,8.0,55.0,2.0,2024-08-27,28,19.51219512195122,2.2988505747126435,74.54545454545455,25.35,album,False,4.06,10,2024-07-14,50.0,2,30.27,45
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2024-07-31,45.0,Fast & Furious: The Fast Saga & Jimin & BTS,74.0,2,2024-07-28,46.0,2,42.0,20,3.0,74.0,0.0,2024-08-03,3,7.317073170731707,0.0,97.27272727272728,23.11,single,False,2.94,2,2024-06-17,5.0,3,36.01,20
My You,2024-07-31,50.0,Jung Kook,86.0,3,2024-07-28,49.0,2,50.0,2,0.0,86.0,0.0,2024-07-31,0,0.0,0.0,100.0,20.0,single,False,2.75,1,2024-07-05,21.0,6,39.16,2
Super,2024-07-31,49.0,SEVENTEEN,86.0,3,2024-07-28,48.0,2,44.0,9,5.0,86.0,0.0,2024-08-06,6,12.195121951219512,0.0,94.54545454545456,25.01,single,False,3.34,6,2024-05-18,13.0,2,35.05,9
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-07-31,41.0,Halsey & SUGA,84.0,3,2024-07-28,50.0,2,40.0,6,1.0,84.0,0.0,2024-08-03,3,2.4390243902439024,0.0,97.27272727272728,20.67,single,True,3.02,1,2024-06-07,28.0,6,38.91,6
Rainbow,2024-07-31,46.0,Lim Young Woong,59.0,4,2024-07-26,48.0,4,40.0,31,6.0,59.0,0.0,2024-08-07,7,14.634146341463412,0.0,93.63636363636364,26.04,album,False,3.27,12,2024-05-18,33.0,16,56.22,31
vampire,2024-07-31,48.0,Olivia Rodrigo,98.0,3,2024-07-28,42.0,2,42.0,13,6.0,98.0,0.0,2024-08-06,6,14.634146341463412,0.0,94.54545454545456,26.23,single,True,3.66,1,2024-07-02,22.0,2,35.82,13
"Our Blues, Our Life",2024-07-31,47.0,Lim Young Woong,59.0,3,2024-07-26,50.0,4,42.0,18,5.0,59.0,0.0,2024-08-07,7,12.195121951219512,0.0,93.63636363636364,24.82,album,False,3.46,12,2024-05-18,39.0,28,73.22,18
Seven (feat. Latto) (Band Ver.),2024-08-02,49.0,Jung Kook & Latto,77.0,3,2024-07-30,46.0,2,49.0,1,0.0,77.0,0.0,2024-08-02,0,0.0,0.0,100.0,20.0,single,False,3.16,5,2024-07-19,25.0,3,34.72,1
My You,2024-08-03,47.0,Jung Kook,85.0,4,2024-08-01,50.0,1,47.0,2,0.0,85.0,0.0,2024-08-03,0,0.0,0.0,100.0,20.0,single,False,2.75,1,2024-07-05,21.0,6,39.16,2
A bientot,2024-08-04,50.0,Lim Young Woong,57.0,8,2024-07-25,46.0,9,50.0,1,0.0,57.0,0.0,2024-08-04,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,1
Seven (feat. Latto) (Band Ver.),2024-08-05,49.0,Jung Kook & Latto,77.0,4,2024-08-02,49.0,2,49.0,1,0.0,77.0,0.0,2024-08-05,0,0.0,0.0,100.0,20.0,single,False,3.16,5,2024-07-19,25.0,3,34.72,1
Cupid - Twin Ver.,2024-08-06,50.0,FIFTY FIFTY,96.0,4,2024-07-26,49.0,10,50.0,1,0.0,96.0,0.0,2024-08-06,0,0.0,0.0,100.0,20.0,single,False,2.9,3,2024-05-18,10.0,3,34.72,1
A bientot,2024-08-06,49.0,Lim Young Woong,57.0,9,2024-08-04,50.0,1,43.0,7,6.0,57.0,0.0,2024-08-07,1,14.634146341463412,0.0,99.0909090909091,27.14,album,False,4.27,12,2024-05-18,41.0,22,67.17,7
My You,2024-08-07,50.0,Jung Kook,85.0,5,2024-08-04,48.0,2,50.0,2,0.0,85.0,0.0,2024-08-07,0,0.0,0.0,100.0,20.0,single,False,2.75,1,2024-07-05,21.0,6,39.16,2
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-07,49.0,Halsey & SUGA,82.0,4,2024-08-05,45.0,1,36.0,17,13.0,82.0,0.0,2024-08-12,5,31.70731707317073,0.0,95.45454545454544,34.94,single,True,3.02,1,2024-06-07,28.0,6,47.5,17
Love Always Run Away,2024-08-09,50.0,Lim Young Woong,57.0,9,2024-06-13,47.0,56,50.0,1,0.0,57.0,0.0,2024-08-09,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,1
My You,2024-08-10,50.0,Jung Kook,84.0,6,2024-08-08,50.0,1,47.0,2,3.0,84.0,0.0,2024-08-11,1,7.317073170731707,0.0,99.0909090909091,23.48,single,False,2.75,1,2024-07-05,21.0,6,41.14,2
Love Always Run Away,2024-08-11,50.0,Lim Young Woong,57.0,10,2024-08-09,50.0,1,50.0,1,0.0,57.0,0.0,2024-08-11,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,1
Stay Alive (Prod. SUGA of BTS),2024-08-12,49.0,Jung Kook,80.0,2,2024-07-18,36.0,24,49.0,1,0.0,80.0,0.0,2024-08-12,0,0.0,0.0,100.0,20.0,single,False,3.52,1,2024-07-07,45.0,1,31.76,1
SOS,2024-08-12,47.0,KANGDANIEL,73.0,2,2024-08-10,30.0,1,35.0,10,12.0,73.0,0.0,2024-08-17,5,29.268292682926827,0.0,95.45454545454544,33.73,single,False,3.2,5,2024-07-07,38.0,3,42.29,10
Kitsch,2024-08-17,49.0,IVE,77.0,2,2024-08-15,50.0,1,49.0,1,0.0,77.0,0.0,2024-08-17,0,0.0,0.0,100.0,20.0,album,False,3.26,11,2024-05-18,9.0,2,33.24,1
Kitsch,2024-08-19,50.0,IVE,76.0,3,2024-08-17,49.0,1,50.0,1,0.0,76.0,0.0,2024-08-19,0,0.0,0.0,100.0,20.0,album,False,3.26,11,2024-05-18,9.0,2,33.24,1
"Our Blues, Our Life",2024-08-20,49.0,Lim Young Woong,58.0,4,2024-08-17,47.0,2,49.0,1,0.0,58.0,0.0,2024-08-20,0,0.0,0.0,100.0,20.0,album,False,3.46,12,2024-05-18,39.0,28,71.76,1
Intro: Singularity,2024-08-21,49.0,BTS,71.0,2,2024-08-18,45.0,2,46.0,3,3.0,71.0,0.0,2024-08-22,1,7.317073170731707,0.0,99.0909090909091,23.48,album,False,3.28,11,2024-08-18,45.0,2,35.22,3
SOS,2024-08-23,45.0,KANGDANIEL,72.0,3,2024-08-21,41.0,1,45.0,1,0.0,72.0,0.0,2024-08-23,0,0.0,0.0,100.0,20.0,single,False,3.2,5,2024-07-07,38.0,3,34.72,1
"Our Blues, Our Life",2024-08-24,47.0,Lim Young Woong,58.0,5,2024-08-20,49.0,3,44.0,6,3.0,58.0,0.0,2024-08-28,4,7.317073170731707,0.0,96.36363636363636,22.93,album,False,3.46,12,2024-05-18,39.0,28,72.7,6
Sugarcoat (NATTY Solo),2024-08-24,44.0,KISS OF LIFE,73.0,2,2024-08-22,50.0,1,26.0,14,18.0,74.0,1.0,2024-08-31,7,43.90243902439025,1.1494252873563218,93.63636363636364,41.02,single,False,3.0,6,2024-08-22,50.0,3,46.46,14
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",2024-08-24,50.0,Fast & Furious: The Fast Saga & Jimin & BTS,72.0,3,2024-08-19,47.0,4,50.0,1,0.0,72.0,0.0,2024-08-24,0,0.0,0.0,100.0,20.0,single,False,2.94,2,2024-06-17,5.0,3,34.72,1
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-25,50.0,Halsey & SUGA,80.0,5,2024-08-23,46.0,1,48.0,2,2.0,80.0,0.0,2024-08-26,1,4.878048780487805,0.0,99.0909090909091,22.26,single,True,3.02,1,2024-06-07,28.0,6,40.37,2
Intro: Singularity,2024-08-27,49.0,BTS,71.0,3,2024-08-23,50.0,3,45.0,2,4.0,72.0,1.0,2024-08-28,1,9.75609756097561,1.1494252873563218,99.0909090909091,25.04,album,False,3.28,11,2024-08-18,45.0,2,36.21,2
A bientot,2024-08-28,49.0,Lim Young Woong,57.0,10,2024-08-12,44.0,15,49.0,1,0.0,57.0,0.0,2024-08-28,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,1
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-08-30,47.0,Halsey & SUGA,79.0,6,2024-08-26,48.0,3,47.0,4,0.0,79.0,0.0,2024-08-30,0,0.0,0.0,100.0,20.0,single,True,3.02,1,2024-06-07,28.0,6,39.16,4
SOS,2024-08-31,49.0,KANGDANIEL,70.0,4,2024-08-23,45.0,7,45.0,3,4.0,70.0,0.0,2024-09-01,1,9.75609756097561,0.0,99.0909090909091,24.7,single,False,3.2,5,2024-07-07,38.0,3,37.47,3
Attention,2024-09-01,49.0,NewJeans,83.0,3,2024-08-30,48.0,1,47.0,4,2.0,83.0,0.0,2024-09-03,2,4.878048780487805,0.0,98.1818181818182,22.08,single,False,3.0,4,2024-05-18,30.0,10,45.95,4
Rainbow,2024-09-01,50.0,Lim Young Woong,58.0,5,2024-08-30,50.0,1,35.0,8,15.0,58.0,0.0,2024-09-04,3,36.58536585365854,0.0,97.27272727272728,37.75,album,False,3.27,12,2024-05-18,33.0,16,64.55,8
アイドル,2024-09-03,45.0,YOASOBI,88.0,2,2024-08-31,48.0,2,45.0,1,0.0,88.0,0.0,2024-09-03,0,0.0,0.0,100.0,20.0,single,False,3.55,1,2024-05-18,8.0,3,34.72,1
A bientot,2024-09-03,50.0,Lim Young Woong,57.0,11,2024-08-28,49.0,5,46.0,2,4.0,57.0,0.0,2024-09-04,1,9.75609756097561,0.0,99.0909090909091,24.7,album,False,4.27,12,2024-05-18,41.0,22,65.62,2
"Our Blues, Our Life",2024-09-03,44.0,Lim Young Woong,58.0,6,2024-08-29,50.0,4,41.0,4,3.0,58.0,0.0,2024-09-04,1,7.317073170731707,0.0,99.0909090909091,23.48,album,False,3.46,12,2024-05-18,39.0,28,73.74,4
Sweet Night,2024-09-04,39.0,V,80.0,2,2024-08-31,41.0,3,39.0,2,0.0,80.0,0.0,2024-09-04,0,0.0,0.0,100.0,20.0,single,False,3.57,2,2024-08-13,49.0,2,33.24,2
Memories,2024-09-05,24.0,RIIZE,71.0,2,2024-09-02,47.0,2,24.0,12,0.0,73.0,2.0,2024-09-05,0,0.0,2.2988505747126435,100.0,20.69,single,False,2.97,1,2024-08-31,50.0,4,36.64,12
Seven (feat. Latto) (Alesso Remix),2024-09-05,46.0,Jung Kook & Latto,71.0,2,2024-08-30,17.0,5,46.0,1,0.0,71.0,0.0,2024-09-05,0,0.0,0.0,100.0,20.0,single,True,2.71,4,2024-08-26,25.0,2,33.24,1
Fry’s Dream,2024-09-05,41.0,AKMU,59.0,2,2024-08-25,46.0,10,40.0,5,1.0,60.0,1.0,2024-09-06,1,2.4390243902439024,1.1494252873563218,99.0909090909091,21.38,single,False,3.41,2,2024-08-23,28.0,2,33.88,5
Seven (feat. Latto) (Alesso Remix),2024-09-07,24.0,Jung Kook & Latto,72.0,3,2024-09-05,46.0,1,24.0,2,0.0,72.0,0.0,2024-09-07,0,0.0,0.0,100.0,20.0,single,True,2.71,4,2024-08-26,25.0,2,33.24,2
Sweet Night,2024-09-07,47.0,V,80.0,3,2024-09-05,49.0,1,47.0,2,0.0,80.0,0.0,2024-09-07,0,0.0,0.0,100.0,20.0,single,False,3.57,2,2024-08-13,49.0,2,33.24,2
Better Things,2024-09-09,50.0,aespa,81.0,2,2024-09-06,50.0,2,42.0,8,8.0,81.0,0.0,2024-09-10,1,19.51219512195122,0.0,99.0909090909091,29.57,single,False,3.39,1,2024-08-19,36.0,2,39.08,8
Sugarcoat (NATTY Solo),2024-09-09,49.0,KISS OF LIFE,74.0,3,2024-09-06,47.0,2,49.0,1,0.0,74.0,0.0,2024-09-09,0,0.0,0.0,100.0,20.0,single,False,3.0,6,2024-08-22,50.0,3,34.72,1
"Steal The Show - From ""Elemental""",2024-09-09,44.0,Lauv,77.0,2,2024-09-06,48.0,2,36.0,25,8.0,77.0,0.0,2024-09-18,9,19.51219512195122,0.0,91.81818181818184,28.12,single,False,3.2,1,2024-06-19,49.0,1,34.86,25
"Our Blues, Our Life",2024-09-10,37.0,Lim Young Woong,59.0,7,2024-09-06,49.0,3,37.0,18,0.0,59.0,0.0,2024-09-10,0,0.0,0.0,100.0,20.0,album,False,3.46,12,2024-05-18,39.0,28,71.76,18
A bientot,2024-09-10,44.0,Lim Young Woong,57.0,12,2024-09-04,46.0,5,44.0,5,0.0,58.0,1.0,2024-09-10,0,0.0,1.1494252873563218,100.0,20.34,album,False,4.27,12,2024-05-18,41.0,22,63.08,5
Rainbow,2024-09-10,36.0,Lim Young Woong,59.0,6,2024-09-08,49.0,1,14.0,253,22.0,63.0,4.0,2024-12-03,84,53.65853658536586,4.597701149425287,23.636363636363637,32.94,album,False,3.27,12,2024-05-18,33.0,16,43.09,253
Fry’s Dream,2024-09-12,39.0,AKMU,61.0,3,2024-09-09,43.0,2,18.0,45,21.0,66.0,5.0,2024-09-29,17,51.21951219512195,5.747126436781609,84.54545454545455,44.24,single,False,3.41,2,2024-08-23,28.0,2,44.75,45
Click Like (Prod. Crush) (Feat. Paul Blanco),2024-09-13,48.0,Various Artists,66.0,2,2024-09-09,41.0,3,48.0,1,0.0,66.0,0.0,2024-09-13,0,0.0,0.0,100.0,20.0,single,False,2.77,4,2024-09-07,43.0,1,31.76,1
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2024-09-13,49.0,Halsey & SUGA,78.0,7,2024-09-02,48.0,10,49.0,1,0.0,78.0,0.0,2024-09-13,0,0.0,0.0,100.0,20.0,single,True,3.02,1,2024-06-07,28.0,6,39.16,1
Sugarcoat (NATTY Solo),2024-09-13,46.0,KISS OF LIFE,74.0,4,2024-09-09,49.0,3,46.0,1,0.0,74.0,0.0,2024-09-13,0,0.0,0.0,100.0,20.0,single,False,3.0,6,2024-08-22,50.0,3,34.72,1
Let's Say Goodbye,2024-09-14,46.0,Parc Jae Jung,55.0,3,2024-09-12,48.0,1,37.0,18,9.0,55.0,0.0,2024-09-22,8,21.951219512195124,0.0,92.72727272727272,29.52,album,False,4.06,10,2024-07-14,50.0,2,37.46,18
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",2024-09-14,35.0,Fast & Furious: The Fast Saga & Jimin & BTS,70.0,2,2024-06-04,43.0,101,35.0,3,0.0,70.0,0.0,2024-09-14,0,0.0,0.0,100.0,20.0,single,False,1.05,1,2024-05-18,14.0,4,36.2,3
Interlude : Dive,2024-09-14,26.0,Jimin,77.0,4,2024-09-12,32.0,1,26.0,14,0.0,77.0,0.0,2024-09-14,0,0.0,0.0,100.0,20.0,single,False,2.18,6,2024-05-18,42.0,19,58.42,14
Spicy,2024-09-15,46.0,aespa,80.0,2,2024-09-12,50.0,2,44.0,3,2.0,80.0,0.0,2024-09-17,2,4.878048780487805,0.0,98.1818181818182,22.08,single,False,3.28,6,2024-05-18,3.0,1,32.62,3
Attention,2024-09-15,48.0,NewJeans,83.0,4,2024-09-04,49.0,10,45.0,12,3.0,83.0,0.0,2024-09-17,2,7.317073170731707,0.0,98.1818181818182,23.29,single,False,3.0,4,2024-05-18,30.0,10,46.72,12
Slow Dancing,2024-09-17,6.0,V,91.0,2,2024-09-14,5.0,2,4.0,224,2.0,96.0,5.0,2024-09-22,5,4.878048780487805,5.747126436781609,95.45454545454544,23.25,single,False,3.12,6,2024-09-10,5.0,4,37.12,224
Memories,2024-09-18,47.0,RIIZE,73.0,3,2024-09-16,41.0,1,37.0,6,10.0,73.0,0.0,2024-09-19,1,24.390243902439025,0.0,99.0909090909091,32.01,single,False,2.97,1,2024-08-31,50.0,4,43.59,6
Christmas Tree,2024-09-18,44.0,V,81.0,2,2024-09-09,32.0,8,44.0,2,0.0,81.0,0.0,2024-09-18,0,0.0,0.0,100.0,20.0,single,False,3.5,2,2024-07-02,45.0,1,31.76,2
A bientot,2024-09-19,50.0,Lim Young Woong,57.0,13,2024-09-14,48.0,4,50.0,3,0.0,57.0,0.0,2024-09-19,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,3
アイドル,2024-09-22,48.0,YOASOBI,86.0,3,2024-09-03,45.0,18,42.0,10,6.0,86.0,0.0,2024-09-28,6,14.634146341463412,0.0,94.54545454545456,26.23,single,False,3.55,1,2024-05-18,8.0,3,37.31,10
Vancouver,2024-09-22,50.0,BIG Naughty,56.0,3,2024-06-13,50.0,100,50.0,1,0.0,56.0,0.0,2024-09-22,0,0.0,0.0,100.0,20.0,single,False,3.6,2,2024-06-05,41.0,2,33.24,1
A bientot,2024-09-23,49.0,Lim Young Woong,57.0,14,2024-09-21,50.0,1,43.0,5,6.0,57.0,0.0,2024-09-25,2,14.634146341463412,0.0,98.1818181818182,26.95,album,False,4.27,12,2024-05-18,41.0,22,66.82,5
Sunflower - Spider-Man: Into the Spider-Verse,2024-09-24,47.0,Post Malone,85.0,6,2024-07-22,47.0,63,47.0,1,0.0,85.0,0.0,2024-09-24,0,0.0,0.0,100.0,20.0,album,False,2.63,17,2024-06-23,49.0,5,37.68,1
Queencard,2024-09-24,50.0,(G)I-DLE,85.0,2,2024-09-11,43.0,12,50.0,1,0.0,85.0,0.0,2024-09-24,0,0.0,0.0,100.0,20.0,single,False,2.69,6,2024-05-18,5.0,2,33.24,1
Memories,2024-09-25,50.0,RIIZE,73.0,4,2024-09-23,47.0,1,44.0,4,6.0,73.0,0.0,2024-09-28,3,14.634146341463412,0.0,97.27272727272728,26.77,single,False,2.97,1,2024-08-31,50.0,4,39.81,4
I Love You,2024-09-25,48.0,Lim Young Woong,55.0,6,2024-06-14,50.0,102,48.0,2,0.0,55.0,0.0,2024-09-25,0,0.0,0.0,100.0,20.0,album,False,3.98,12,2024-05-19,50.0,12,48.05,2
But Sometimes,2024-09-27,49.0,BOYNEXTDOOR,70.0,2,2024-09-23,39.0,3,49.0,1,0.0,70.0,0.0,2024-09-27,0,0.0,0.0,100.0,20.0,single,False,2.92,6,2024-09-06,31.0,1,31.76,1
Baggy Jeans,2024-09-28,50.0,NCT,64.0,2,2024-09-21,46.0,6,50.0,1,0.0,64.0,0.0,2024-09-28,0,0.0,0.0,100.0,20.0,album,False,3.52,10,2024-08-30,23.0,1,31.76,1
Attention,2024-09-28,49.0,NewJeans,81.0,5,2024-09-26,49.0,1,48.0,2,1.0,81.0,0.0,2024-09-29,1,2.4390243902439024,0.0,99.0909090909091,21.04,single,False,3.0,4,2024-05-18,30.0,10,45.52,2
Interlude : Dive,2024-09-29,35.0,Jimin,76.0,5,2024-09-27,45.0,1,35.0,1,0.0,76.0,0.0,2024-09-29,0,0.0,0.0,100.0,20.0,single,False,2.18,6,2024-05-18,42.0,19,58.42,1
Queencard,2024-09-29,49.0,(G)I-DLE,85.0,3,2024-09-24,50.0,4,49.0,1,0.0,85.0,0.0,2024-09-29,0,0.0,0.0,100.0,20.0,single,False,2.69,6,2024-05-18,5.0,2,33.24,1
"Our Blues, Our Life",2024-09-29,47.0,Lim Young Woong,58.0,8,2024-09-27,41.0,1,44.0,7,3.0,58.0,0.0,2024-10-02,3,7.317073170731707,0.0,97.27272727272728,23.11,album,False,3.46,12,2024-05-18,39.0,28,73.05,7
A bientot,2024-09-30,50.0,Lim Young Woong,57.0,15,2024-09-27,48.0,2,45.0,6,5.0,57.0,0.0,2024-10-02,2,12.195121951219512,0.0,98.1818181818182,25.73,album,False,4.27,12,2024-05-18,41.0,22,66.05,6
My You,2024-09-30,47.0,Jung Kook,79.0,7,2024-08-11,47.0,49,47.0,2,0.0,79.0,0.0,2024-09-30,0,0.0,0.0,100.0,20.0,single,False,2.75,1,2024-07-05,21.0,6,39.16,2
Better Things,2024-10-02,50.0,aespa,80.0,3,2024-09-16,50.0,15,49.0,5,1.0,81.0,1.0,2024-10-04,2,2.4390243902439024,1.1494252873563218,98.1818181818182,21.2,single,False,3.39,1,2024-08-19,36.0,2,33.54,5
Memories,2024-10-02,47.0,RIIZE,74.0,5,2024-09-28,44.0,3,39.0,18,8.0,76.0,2.0,2024-10-06,4,19.51219512195122,2.2988505747126435,96.36363636363636,29.72,single,False,2.97,1,2024-08-31,50.0,4,41.46,18
Love Always Run Away,2024-10-02,48.0,Lim Young Woong,57.0,11,2024-08-11,50.0,51,48.0,2,0.0,57.0,0.0,2024-10-02,0,0.0,0.0,100.0,20.0,single,False,4.05,2,2024-05-18,50.0,14,51.01,2
Cruel Summer,2024-10-04,46.0,Taylor Swift,98.0,3,2024-09-29,44.0,4,43.0,5,3.0,99.0,1.0,2024-10-06,2,7.317073170731707,1.1494252873563218,98.1818181818182,23.64,album,False,2.97,18,2024-07-02,38.0,13,51.39,5
Interlude : Dive,2024-10-06,37.0,Jimin,77.0,6,2024-09-29,35.0,6,37.0,4,0.0,77.0,0.0,2024-10-06,0,0.0,0.0,100.0,20.0,single,False,2.18,6,2024-05-18,42.0,19,58.42,4
アイドル,2024-10-06,44.0,YOASOBI,30.0,4,2024-10-01,45.0,4,44.0,1,0.0,30.0,0.0,2024-10-06,0,0.0,0.0,100.0,20.0,single,False,3.55,1,2024-05-18,8.0,3,34.72,1
"Our Blues, Our Life",2024-10-07,49.0,Lim Young Woong,58.0,9,2024-10-05,45.0,1,45.0,3,4.0,58.0,0.0,2024-10-08,1,9.75609756097561,0.0,99.0909090909091,24.7,album,False,3.46,12,2024-05-18,39.0,28,74.51,3
A bientot,2024-10-09,48.0,Lim Young Woong,57.0,16,2024-10-05,47.0,3,48.0,1,0.0,57.0,0.0,2024-10-09,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,1
3D (feat. Jack Harlow) (Instrumental),2024-10-09,50.0,Jung Kook & Jack Harlow,60.0,2,2024-10-05,28.0,3,38.0,5,12.0,62.0,2.0,2024-10-10,1,29.268292682926827,2.2988505747126435,99.0909090909091,35.14,album,False,3.33,3,2024-09-30,9.0,1,41.13,5
greedy,2024-10-10,50.0,Tate McRae,96.0,2,2024-10-08,48.0,1,45.0,4,5.0,96.0,0.0,2024-10-12,2,12.195121951219512,0.0,98.1818181818182,25.73,single,True,2.2,1,2024-10-04,48.0,1,34.94,4
You & Me (Coachella ver.),2024-10-10,16.0,JENNIE,74.0,2,2024-10-07,4.0,2,16.0,2,0.0,76.0,2.0,2024-10-10,0,0.0,2.2988505747126435,100.0,20.69,single,False,3.0,2,2024-10-07,4.0,1,32.19,2
Interlude : Dive,2024-10-12,39.0,Jimin,77.0,7,2024-10-09,45.0,2,39.0,1,0.0,77.0,0.0,2024-10-12,0,0.0,0.0,100.0,20.0,single,False,2.18,6,2024-05-18,42.0,19,58.42,1
